Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PP533287,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001201,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195654,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-02,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001201, complete genome"
PP496048,Monkeypox virus,,"Balingit,A.K.B., Grande,P.G.B., Nicolasora,A.D., Polotan,F.G.M., Pantoni,R.A.R., Abulencia,M.F.B., Chu,M.Y.J.V., Rivera,N., Oblepias,M.S.M., Garcia,J.U., Bado,S.L.P., Galap,N.B., Mateo,B.C., Reyes,C.M.M.","Research Institute for Tropical Medicine, Molecular Biology Laboratory",Philippines,2024-03-24,hMpxV/Philippines/RITM-002/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197119,GenBank,complete,,,,Philippines: National Capital Region,Philippines,,Homo sapiens,,2022-08-16,,,"Monkeypox virus isolate hMpxV/Philippines/RITM-002/2022, complete genome"
PP155392,Monkeypox virus,SRR27584535,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2024-01-24,MpxV/human/USA/WA-UW-121517/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197164,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-12,SAMN39462829,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-121517/2023, complete genome"
PP155393,Monkeypox virus,SRR27584534,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2024-01-24,MpxV/human/USA/WA-UW-126683/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197185,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-12,SAMN39462830,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-126683/2023, complete genome"
PP098580,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/A1,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/A1, complete genome"
PP098581,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/A2,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/A2, complete genome"
PP098588,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/B1,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/B1, complete genome"
PP098589,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/B2,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197197,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/B2, complete genome"
PP098590,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/B3,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197197,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/B3, complete genome"
PP098591,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/B4,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/B4, complete genome"
PP098596,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/C12,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197194,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/C12, complete genome"
PP098597,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/C2,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/C2, complete genome"
PP098598,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/C3,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/C3, complete genome"
PP098603,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/D11,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197177,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/D11, complete genome"
PP098606,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/D4,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197196,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/D4, complete genome"
PP098607,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/D5,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197195,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/D5, complete genome"
PP098608,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/D6,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197195,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/D6, complete genome"
PP098609,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/D7,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/D7, complete genome"
PP098619,Monkeypox virus,,"Viscardi,M., Cozzolino,L., Rinaldi,A., De Martinis,C., Cardillo,L., Tiberio,C., Falco,R., Guarino,V., D'Auria,G., Nappo,F., Atripaldi,L., Coppola,M.G., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",Italy,2024-01-15,MPXV/F1,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197187,GenBank,complete,,,,Italy: Campania Region,Italy,,Homo sapiens,,2023-05,,,"Monkeypox virus isolate MPXV/F1, complete genome"
OR972728,Monkeypox virus,,"Antwerpen,M.H., Lang,D., Sabine,S., Woelfel,R.","Institute of Microbiology, Bundeswehr",Germany,2023-12-24,IMB_2541_2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197123,GenBank,complete,,,,Germany,Germany,,Homo sapiens,,2023-11-22,,,"Monkeypox virus isolate IMB_2541_2023, complete genome"
OR950770,Monkeypox virus,SRR27126041,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-098697/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-09,SAMN38700067,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-098697/2023, complete genome"
OR950771,Monkeypox virus,SRR27126037,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-118195/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197202,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-11,SAMN38700071,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-118195/2023, complete genome"
OR950772,Monkeypox virus,SRR27126043,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-112116/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197188,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-11,SAMN38700065,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-112116/2023, complete genome"
OR950773,Monkeypox virus,SRR27126039,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-117049/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197188,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-11,SAMN38700069,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-117049/2023, complete genome"
OR950774,Monkeypox virus,SRR27126038,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-112457/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197197,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-11,SAMN38700070,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-112457/2023, complete genome"
OR950775,Monkeypox virus,SRR27126042,"Sereewit,J., Nunley,E.B., Xie,H., Roychoudhury,P., Greninger,A.L.","University of Washington Dept. Laboratory Medicine and Pathology, Virology Division",,2023-12-19,MpxV/human/USA/WA-UW-117959/2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197191,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2023-11,SAMN38700066,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-117959/2023, complete genome"
OR855744,Monkeypox virus,SRR26937653,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/01-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-05-03,SAMN38395318,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/01-2023, complete genome"
OR855745,Monkeypox virus,SRR26937652,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/02-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-06-01,SAMN38395319,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/02-2023, complete genome"
OR855746,Monkeypox virus,SRR26937641,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/03-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-06-23,SAMN38395320,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/03-2023, complete genome"
OR855747,Monkeypox virus,SRR26937636,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/04-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-09-15,SAMN38395321,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/04-2023, complete genome"
OR855748,Monkeypox virus,SRR26937635,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/05-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197192,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-06-23,SAMN38395322,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/05-2023, complete genome"
OR855749,Monkeypox virus,SRR26937634,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/06-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197191,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395323,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/06-2023, complete genome"
OR855750,Monkeypox virus,SRR26937633,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/07-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395324,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/07-2023, complete genome"
OR855751,Monkeypox virus,SRR26937632,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/08-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197191,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395325,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/08-2023, complete genome"
OR855752,Monkeypox virus,SRR26937631,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/09-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395326,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/09-2023, complete genome"
OR855753,Monkeypox virus,SRR26937630,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/10-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197195,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-09-15,SAMN38395327,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/10-2023, complete genome"
OR855754,Monkeypox virus,SRR26937651,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/11-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197191,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395328,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/11-2023, complete genome"
OR855755,Monkeypox virus,SRR26937650,"Chung,Y.-S., Yi,H., Choi,M.-M., Kim,J.-W., Lee,M., Lee,S.E., Sim,G., Lee,J.H., Shin,H., Choi,C.-H.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-12-04,MPXV-ROK-P53/12-2023,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197189,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,skin,2023-07-05,SAMN38395329,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P53/12-2023, complete genome"
